67,1.6877775236589358395*10^6,10,30,40,100.5,80,TRUE, 3/4,-10.25,-21.75,191.25
67,3.7332096086634221807*10^6,12,24,36,100.5,72,TRUE, 3/4,-14.25,88.25,33.25
67,761859.5349,14,28,42,100.5,84,TRUE, 3/4,-8.25,-27.75,635.25
67,169909.6583,16,20,36,100.5,72,TRUE, 3/4,-14.25,104.25,113.25
67,448442.706,16,24,40,100.5,80,TRUE, 3/4,-10.25,20.25,737.25
67,274139.9555,16,32,48,100.5,96,TRUE, 3/4,-2.25,-99.75,305.25
67,50421.57972,18,22,40,100.5,80,TRUE, 3/4,-10.25,26.25,815.25
67,252721.9941,18,24,42,100.5,84,TRUE, 3/4,-8.25,-7.75,975.25
67,81202.43511,18,30,48,100.5,96,TRUE, 3/4,-2.25,-85.75,711.25
67,53435.06165,18,36,54,100.5,108,FALSE, 3/4,3.75,-127.75,-668.75
67,66437.10687,20,28,48,100.5,96,TRUE, 3/4,-2.25,-75.75,1001.25
68,2.8722809236481433802*10^6,10,30,40,102,80,TRUE, 3/4,-11,-10.75,202
68,1.1990901393769324225*10^6,14,28,42,102,84,TRUE, 3/4,-9,-18.75,654
68,642685.9837,16,24,40,102,80,TRUE, 3/4,-11,31.25,706
68,397150.3507,16,32,48,102,96,TRUE, 3/4,-3,-96.75,402
68,60454.15979,18,22,40,102,80,TRUE, 3/4,-11,37.25,778
68,309054.2589,18,24,42,102,84,TRUE, 3/4,-9,1.25,974
68,89910.43738,18,30,48,102,96,TRUE, 3/4,-3,-82.75,794
68,66534.72797,18,36,54,102,108,FALSE, 3/4,3,-130.75,-538
68,75742.09687,20,28,48,102,96,TRUE, 3/4,-3,-72.75,1074
68,50899.6648,24,32,40,102,96,TRUE, 3/4,-3,-0.75,18
69,3.4820413371535584493*10^6,10,30,40,103.5,80,TRUE, 3/4,-11.75,1,201
69,1.3617857331216743547*10^6,14,28,42,103.5,84,TRUE, 3/4,-9.75,-9,663
69,766859.3459,16,24,40,103.5,80,TRUE, 3/4,-11.75,43,663
69,452521.7145,16,32,48,103.5,96,TRUE, 3/4,-3.75,-93,495
69,58814.81277,18,20,38,103.5,76,TRUE, 3/4,-13.75,91,363
69,71832.1741,18,22,40,103.5,80,TRUE, 3/4,-11.75,49,729
69,432572.5873,18,24,42,103.5,84,TRUE, 3/4,-9.75,11,963
69,116025.0419,18,30,48,103.5,96,TRUE, 3/4,-3.75,-79,873
69,88814.81607,18,36,54,103.5,108,FALSE, 3/4,2.25,-133,-405
69,99307.20386,20,28,48,103.5,96,TRUE, 3/4,-3.75,-69,1143
69,81276.38388,20,30,40,103.5,90,TRUE, 3/4,-6.75,6,126
69,65216.3119,20,30,50,103.5,100,TRUE, 3/4,-1.75,-89,951
69,53301.26339,24,32,40,103.5,96,TRUE, 3/4,-3.75,3,15
70,3.6344120183827218469*10^6,10,30,40,105,80,TRUE, 3/4,-12.5,13.5,187.5
70,1.4547207127546293095*10^6,14,28,42,105,84,TRUE, 3/4,-10.5,1.5,661.5
70,68408.55347,14,42,56,105,112,FALSE, 3/4,3.5,-194.5,-2964.5
70,1.0287242274198361145*10^6,16,24,40,105,80,TRUE, 3/4,-12.5,55.5,607.5
